Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Phi,,,,,,,
Project,Phi- Dextran-Chlorobenzene-Acetonitrile-Acetone-n-Butyl Acetate,,,,,,,
Reactor1,14.89 mg/ml Dextran in Chlorobenzene,,,,,,,
Reactor2,14.78 mg/ml Dextran in Acetonitrile,,,,,,,
Reactor3,14.65 mg/ml Dextran in Acetone,,,,,,,
Reactor4,14.95 mg/ml Dextran in n-Butyl Acetate,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
polymer_ids,Dextran:39,,,,,,,
solvent_ids,Chlorobenzene:10,Acetonitrile:15,Acetone:16,n-Butyl Acetate:40,,,,
Description,,,,,,,,
,,,,,,,,
,,,,,,,,
Start of Experiment,1/11/24 12:09,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,A,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,40, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,8, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
1/11/24 12:09,0:00:00,25.2,25.2,65,57,64,65,0
1/11/24 12:09,0:00:01,25.2,25.2,65,58,64,65,0
1/11/24 12:09,0:00:02,24.8,25.2,100,100,100,100,0
1/11/24 12:09,0:00:03,24.5,25.2,100,100,100,100,0
1/11/24 12:09,0:00:04,24.2,25.2,100,100,100,100,0
1/11/24 12:09,0:00:05,23.8,25.1,100,100,100,100,0
1/11/24 12:09,0:00:06,23.5,25.1,100,100,100,100,0
1/11/24 12:09,0:00:07,23.2,25,100,100,100,100,0
1/11/24 12:09,0:00:08,22.8,24.8,100,100,100,100,0
1/11/24 12:09,0:00:09,22.5,24.7,100,100,100,100,0
1/11/24 12:09,0:00:10,22.2,24.5,100,100,100,100,0
1/11/24 12:09,0:00:11,21.8,24.3,100,100,100,100,0
1/11/24 12:09,0:00:12,21.5,24.1,100,100,100,100,0
1/11/24 12:09,0:00:13,21.2,23.9,100,100,100,100,0
1/11/24 12:09,0:00:14,20.8,23.7,100,100,100,100,0
1/11/24 12:09,0:00:15,20.5,23.4,100,100,100,100,0
1/11/24 12:09,0:00:16,20.2,23.1,100,100,100,100,0
1/11/24 12:09,0:00:17,20,22.9,100,100,100,100,0
1/11/24 12:09,0:00:18,20,22.6,100,100,100,100,0
1/11/24 12:09,0:00:19,20,22.4,100,100,100,100,0
1/11/24 12:09,0:00:20,20,22.1,100,100,100,100,0
