Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona Amrihesari,,,,,,,
Project,MA--Nylon12-Nitrobenzene,,,,,,,
Reactor1,5.11 mg/ml Nylon12 in Nitrobenzene,,,,,,,
Reactor2,5.09 mg/ml Nylon12 in Nitrobenzene,,,,,,,
Reactor3,5.12 mg/ml Nylon12 in Nitrobenzene,,,,,,,
Reactor4,49.75 mg/ml Nylon12 in Nitrobenzene,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,The first experiment on Nylon12-Nitrobenze,,,,,,,
polymer_ids,Nylon12:53,,,,,,,
solvent_ids,Nitrobenzene:9,,,,,,,
Start of Experiment,2/23/23 12:53,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,18, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,129, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
2/23/23 12:53,0:00:01,25.5,25.9,100,100,100,100,0
2/23/23 12:53,0:00:03,25.2,25.9,100,100,100,100,0
2/23/23 12:53,0:00:04,24.9,25.9,100,100,100,100,0
2/23/23 12:53,0:00:05,24.5,25.9,100,100,100,100,0
2/23/23 12:53,0:00:06,24.2,25.8,100,100,100,100,0
2/23/23 12:53,0:00:07,23.9,25.7,100,100,100,100,0
2/23/23 12:53,0:00:08,23.5,25.5,100,100,100,100,0
2/23/23 12:53,0:00:09,23.2,25.3,100,100,100,100,0
2/23/23 12:53,0:00:10,22.9,25.1,100,100,100,100,0
2/23/23 12:53,0:00:11,22.5,24.9,100,100,100,100,0
2/23/23 12:53,0:00:12,22.2,24.7,100,100,100,100,0
2/23/23 12:53,0:00:13,21.9,24.5,100,100,100,100,0
2/23/23 12:53,0:00:14,21.5,24.3,100,100,100,100,0
2/23/23 12:53,0:00:15,21.2,24,100,100,100,100,0
2/23/23 12:53,0:00:16,20.9,23.8,100,100,100,100,0
2/23/23 12:53,0:00:17,20.5,23.5,100,100,100,100,0
2/23/23 12:53,0:00:18,20.2,23.3,100,100,100,100,0
2/23/23 12:53,0:00:19,20,23,100,100,100,100,0
2/23/23 12:53,0:00:20,20,22.7,100,100,100,100,0
2/23/23 12:53,0:00:21,20,22.5,100,100,100,100,0
2/23/23 12:53,0:00:22,20,22.2,100,100,100,100,0
