Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,MA-Poly4vinylphenol-DMAc-Cyclohexanone-Isobutyl acetate-Ethanol,,,,,,,
Reactor1,14.55 mg/ml Poly4vinylphenol in DMAc,,,,,,,
Reactor2,15.42 mg/ml Poly4vinylphenol in Cyclohexanone,,,,,,,
Reactor3,15.7 mg/ml Poly4vinylphenol in Isobutyl acetate,,,,,,,
Reactor4,15.3 mg/ml Poly4vinylphenol in Ethanol,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,Poly4vinylphenol:41,,,,,,,
solvent_ids,DMAc:12,Cyclohexanone:20,Isobutyl acetate:46,Ethanol:4,,,,
Start of Experiment,1/18/24 14:32,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,12, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,135, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
1/18/24 14:32,0:00:01,26.2,26.6,100,100,100,100,0
1/18/24 14:32,0:00:03,25.9,26.6,100,100,100,100,0
1/18/24 14:32,0:00:04,25.6,26.6,100,100,100,100,0
1/18/24 14:32,0:00:05,25.2,26.6,100,100,100,100,0
1/18/24 14:32,0:00:06,24.9,26.5,100,100,100,100,0
1/18/24 14:32,0:00:07,24.6,26.4,100,100,100,100,0
1/18/24 14:32,0:00:08,24.2,26.3,100,100,100,100,0
1/18/24 14:32,0:00:09,23.9,26.1,100,100,100,100,0
1/18/24 14:32,0:00:10,23.6,25.9,100,100,100,100,0
1/18/24 14:32,0:00:11,23.2,25.7,100,100,100,100,0
1/18/24 14:32,0:00:12,22.9,25.5,100,100,100,100,0
1/18/24 14:32,0:00:13,22.6,25.3,100,100,100,100,0
1/18/24 14:32,0:00:14,22.2,25.1,100,100,100,100,0
1/18/24 14:32,0:00:15,21.9,24.8,100,100,100,100,0
1/18/24 14:32,0:00:16,21.6,24.6,100,100,100,100,0
1/18/24 14:33,0:00:17,21.2,24.3,100,100,100,100,0
1/18/24 14:33,0:00:18,20.9,24,100,100,100,100,0
1/18/24 14:33,0:00:19,20.6,23.8,100,100,100,100,0
1/18/24 14:33,0:00:20,20.2,23.5,100,100,100,100,0
1/18/24 14:33,0:00:21,20,23,100,100,100,100,0
