Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,MA-P4VP-1-Butanol-Acetone-Ethyl acetate-2,4,6-TrimethylPyridine,,,,,
Reactor1,15.17 mg/ml P4VP in 1-Butanol,,,,,,,
Reactor2,14.86 mg/ml P4VP in Acetone,,,,,,,
Reactor3,14.59 mg/ml P4VP in Ethyl acetate,,,,,,,
Reactor4,15.53 mg/ml P4VP in 2,4,6-TrimethylPyridine,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,P4VP:41,,,,,,,
solvent_ids,1-butanol:6,Acetone:16,Ethyl acetate:19,"2,4,6-TrimethylPyridine:44",,,,
Start of Experiment,9/28/23 12:05,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,13, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,183, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
9/28/23 12:05,0:00:00,24.9,24.9,100,100,100,100,0
9/28/23 12:05,0:00:01,24.9,24.9,100,100,100,100,0
9/28/23 12:06,0:00:02,24.5,24.9,100,100,100,100,0
9/28/23 12:06,0:00:03,24.2,24.9,100,100,100,100,0
9/28/23 12:06,0:00:04,23.9,24.9,100,100,100,100,0
9/28/23 12:06,0:00:05,23.5,24.8,100,100,100,100,0
9/28/23 12:06,0:00:06,23.2,24.7,100,100,100,100,0
9/28/23 12:06,0:00:07,22.9,24.6,100,100,100,100,0
9/28/23 12:06,0:00:08,22.2,24.3,100,100,100,100,0
9/28/23 12:06,0:00:09,21.9,24.1,100,100,100,100,0
9/28/23 12:06,0:00:10,21.5,23.9,100,100,100,100,0
9/28/23 12:06,0:00:11,21.2,23.7,100,100,100,100,0
9/28/23 12:06,0:00:12,20.9,23.5,100,100,100,100,0
9/28/23 12:06,0:00:13,20.5,23.3,100,100,100,100,0
9/28/23 12:06,0:00:14,20.2,23,100,100,100,100,0
9/28/23 12:06,0:00:15,20,22.8,100,100,100,100,0
9/28/23 12:06,0:00:16,20,22.5,100,100,100,100,0
9/28/23 12:06,0:00:17,20,22.3,100,100,100,100,0
9/28/23 12:06,0:00:18,20,22,100,100,100,100,0
9/28/23 12:06,0:00:19,20,21.8,100,100,100,100,0
9/28/23 12:06,0:00:20,20,21.6,100,100,100,100,0
9/28/23 12:06,0:00:21,20,21.4,100,100,100,100,0
9/28/23 12:06,0:00:22,20,21.3,100,100,100,100,0
9/28/23 12:06,0:00:23,20,21.1,100,100,100,100,0
9/28/23 12:06,0:00:24,20,21,100,100,100,100,0
9/28/23 12:06,0:00:25,20,20.9,100,100,100,100,0
9/28/23 12:06,0:00:26,20,20.8,100,100,100,100,0
9/28/23 12:06,0:00:27,20,20.7,100,100,100,100,0
9/28/23 12:06,0:00:28,20,20.7,100,100,100,100,0
9/28/23 12:06,0:00:29,20,20.6,100,100,100,100,0
9/28/23 12:06,0:00:32,20,20.4,100,100,100,100,0
9/28/23 12:06,0:00:33,20,20.4,100,100,100,100,0
9/28/23 12:06,0:00:34,20,20.3,100,100,100,100,0
9/28/23 12:06,0:00:37,20,20.3,100,100,100,100,0
9/28/23 12:06,0:00:38,20,20.2,100,100,100,100,0
9/28/23 12:06,0:00:47,20,20.2,100,100,100,100,0
9/28/23 12:06,0:00:48,20,20.1,100,100,100,100,0
9/28/23 12:06,0:00:50,20,20.1,100,100,100,100,0
9/28/23 12:06,0:00:57,20,20.1,100,100,100,100,0
9/28/23 12:06,0:00:58,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:01,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:08,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:09,20,20,54,100,100,100,0
9/28/23 12:07,0:01:10,20,20,54,100,100,100,0
9/28/23 12:07,0:01:11,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:12,20,20,54,100,100,100,0
9/28/23 12:07,0:01:54,20,20,54,100,100,100,0
9/28/23 12:07,0:01:55,20,20,100,100,100,100,0
9/28/23 12:07,0:01:56,20,20,100,62,100,100,0
9/28/23 12:07,0:01:59,20,20,100,62,100,100,0
9/28/23 12:07,0:02:00,20,20.1,100,62,100,100,0
9/28/23 12:08,0:02:06,20,20.1,100,62,100,100,0
9/28/23 12:08,0:02:07,20,20,100,62,100,100,0
9/28/23 12:08,0:02:27,20,20,100,62,100,100,0
9/28/23 12:08,0:02:30,20,20,100,62,100,100,0
9/28/23 12:08,0:02:31,20,20,100,100,100,100,0
9/28/23 12:08,0:02:32,20,20,100,100,62,100,0
9/28/23 12:08,0:02:34,20,20,100,100,62,100,0
9/28/23 12:08,0:02:35,20,20,100,100,62,100,0
9/28/23 12:08,0:02:37,20,20,100,100,62,100,0
9/28/23 12:09,0:03:02,20,20,100,100,62,100,0
9/28/23 12:09,0:03:03,20,20,100,100,100,71,0
9/28/23 12:09,0:03:04,20,20,100,100,100,60,0
9/28/23 12:09,0:03:14,20,20,100,100,100,60,0
9/28/23 12:09,0:03:38,20,20,100,100,100,60,0
9/28/23 12:09,0:03:39,20,20,100,100,100,1,0
9/28/23 12:09,0:03:40,20,20,54,100,100,1,0
9/28/23 12:09,0:03:46,20,20,54,100,100,1,0
9/28/23 12:09,0:03:47,20,20,100,100,100,1,0
9/28/23 12:09,0:03:50,20,20,100,100,100,1,0
9/28/23 12:10,0:04:02,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:05,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:08,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:10,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:11,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:12,20.1,20.1,100,100,100,1,0
9/28/23 12:10,0:04:14,20.2,20.1,100,100,100,1,0
9/28/23 12:10,0:04:26,20.3,20.1,100,100,100,1,0
9/28/23 12:10,0:04:27,20.3,20.2,100,100,100,1,0
9/28/23 12:10,0:04:38,20.4,20.2,100,100,100,1,0
9/28/23 12:10,0:04:39,20.4,20.3,100,100,100,1,0
9/28/23 12:10,0:04:50,20.5,20.3,100,100,100,1,0
9/28/23 12:10,0:04:51,20.5,20.3,100,100,100,1,0
9/28/23 12:10,0:04:52,20.5,20.4,100,100,100,1,0
9/28/23 12:11,0:05:01,20.6,20.4,100,100,100,1,0
9/28/23 12:11,0:05:02,20.6,20.4,100,100,100,1,0
9/28/23 12:11,0:05:03,20.6,20.5,100,100,100,1,0
9/28/23 12:11,0:05:14,20.7,20.5,100,100,100,1,0
9/28/23 12:11,0:05:16,20.7,20.5,100,100,100,1,0
9/28/23 12:11,0:05:17,20.7,20.6,100,100,100,1,0
9/28/23 12:11,0:05:26,20.8,20.6,100,100,100,1,0
9/28/23 12:11,0:05:28,20.8,20.6,100,100,100,1,0
9/28/23 12:11,0:05:29,20.8,20.7,100,100,100,1,0
9/28/23 12:11,0:05:38,20.9,20.7,100,100,100,1,0
9/28/23 12:11,0:05:40,20.9,20.7,100,100,100,1,0
9/28/23 12:11,0:05:41,20.9,20.8,100,100,100,1,0
9/28/23 12:11,0:05:50,21,20.8,100,100,100,1,0
9/28/23 12:11,0:05:51,21,20.8,100,100,100,1,0
9/28/23 12:11,0:05:52,21,20.9,100,100,100,1,0
9/28/23 12:12,0:06:02,21.1,20.9,100,100,100,1,0
9/28/23 12:12,0:06:03,21.1,20.9,100,100,100,1,0
9/28/23 12:12,0:06:04,21.1,21,100,100,100,1,0
9/28/23 12:12,0:06:09,21.1,21,100,100,100,1,0
9/28/23 12:12,0:06:11,21.1,21,100,100,100,1,0
9/28/23 12:12,0:06:13,21.2,21,100,100,100,1,0
9/28/23 12:12,0:06:14,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:15,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:21,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:22,21.2,21.1,100,100,100,1,0
