Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona Amrihesari,,,,,,,
Project,MA-PEG- DMSO-m-cresol,,,,,,,
Reactor1,5 mg/ml PEG in DMSO,,,,,,,
Reactor2,49.6 mg/ml PEG in DMSO,,,,,,,
Reactor3,5.45 mg/ml PEG in m-cresol,,,,,,,
Reactor4,50.05 mg/ml PEG in m-cresol,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PEG:34,,,,,,,
solvent_ids,DMSO:13,m-cresol:2,,,,,,
Start of Experiment,6/1/23 12:52,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,21, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,117, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
6/1/23 12:52,0:00:00,24.7,24.7,58,73,63,64,0
6/1/23 12:52,0:00:01,24.7,24.7,58,73,63,65,0
6/1/23 12:52,0:00:02,24.3,24.7,100,100,100,100,0
6/1/23 12:52,0:00:03,24,24.7,100,100,100,100,0
6/1/23 12:52,0:00:04,23.7,24.7,100,100,100,100,0
6/1/23 12:52,0:00:05,23.3,24.6,100,100,100,100,0
6/1/23 12:52,0:00:06,23,24.5,100,100,100,100,0
6/1/23 12:52,0:00:07,22.7,24.4,100,100,100,100,0
6/1/23 12:52,0:00:08,22.3,24.3,100,100,100,100,0
6/1/23 12:52,0:00:09,22,24.1,100,100,100,100,0
6/1/23 12:52,0:00:10,21.7,23.9,100,100,100,100,0
6/1/23 12:52,0:00:11,21.3,23.7,100,100,100,100,0
6/1/23 12:52,0:00:12,21,23.5,100,100,100,100,0
6/1/23 12:52,0:00:13,20.7,23.3,100,100,100,100,0
6/1/23 12:52,0:00:14,20.3,23.1,100,100,100,100,0
6/1/23 12:52,0:00:15,20,22.8,100,100,100,100,0
6/1/23 12:52,0:00:16,20,22.6,100,100,100,100,0
6/1/23 12:52,0:00:17,20,22.3,100,100,100,100,0
6/1/23 12:53,0:00:18,20,22.1,100,100,100,100,0
6/1/23 12:53,0:00:19,20,21.8,100,100,100,100,0
6/1/23 12:53,0:00:20,20,21.6,100,100,100,100,0
6/1/23 12:53,0:00:21,20,21.4,100,100,100,100,0
6/1/23 12:53,0:00:22,20,21.3,100,100,100,100,0
