Crystal16 Data Report File,Version: 1014,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment details,,,,,,,,,,,,,
ExperimentNumber,0,,,,,,,,,,,,
Experimentor,,,,,,,,,,,,,
Project,MA-PEG-TOL -heating rate(0.5)-differenct Cons,,,,,,,,,,,,
Reactor1,5 mg/ml PEG in TOL,,,,,,,,,,,,
Reactor2,15 mg/ml PEG in TOL,,,,,,,,,,,,
Reactor3,30 mg/ml PEG in TOL,,,,,,,,,,,,
Reactor4,50 mg/ml PEG in TOL,,,,,,,,,,,,
,,,,,,,,,,,,,
Labjournal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Description,,,,,,,,,,,,,
polymer_ids,PEG:34,,,,,,,,,,,,
solvent_ids,TOL:26,,,,,,,,,,,,
Start of Experiment,2/24/22 14:22,,,,,,,,,,,,
,,,,,,,,,,,,,
Temperature Program,,,,,,,,,,,,,
Block,C,,,,,,,,,,,,
Heat to,20, at ,20, °C/min,,,,,,,,,
Hold at,20, for ,13, sec,,,,,,,,,
Tune,,,,,,,,,,,,,
Hold at,20, for ,139, sec,,,,,,,,,
Stir (Bottom) at,900, rpm,,,,,,,,,,,
Heat to,60, at ,0.5, °C/min,,,,,,,,,
Hold at,60, for ,3601, sec,,,,,,,,,
Cool to,10, at ,0.5, °C/min,,,,,,,,,
Hold at,10, for ,7201, sec,,,,,,,,,
Heat to,60, at ,0.5, °C/min,,,,,,,,,
Hold at,60, for ,3601, sec,,,,,,,,,
Cool to,10, at ,0.5, °C/min,,,,,,,,,
Hold at,10, for ,7201, sec,,,,,,,,,
Heat to,25, at ,0.5, °C/min,,,,,,,,,
Hold at,25, for ,3601, sec,,,,,,,,,
,,,,,,,,,,,,,
Data Block,,,,,,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm],,,,,
2/24/22 14:22,0:00:03,23.9,24.9,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:04,23.9,24.9,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:05,23.5,24.8,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:06,23.2,24.7,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:07,22.9,24.6,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:08,22.5,24.5,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:09,22.2,24.3,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:10,21.9,24.1,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:11,21.5,23.9,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:12,21.2,23.7,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:13,20.9,23.5,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:14,20.5,23.3,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:15,20.2,23,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:16,20,22.8,100,100,100,100,0,,,,,
2/24/22 14:22,0:00:17,20,22.5,100,100,100,100,0,,,,,
