Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,"AM-PMMA-THF-Ethyl Acetate-1,2-dichlorobenzene-1,2-dichloroethane",2 Dichlorobenzene-1,2 Dichloroethane,,,,,
Reactor1,14.91 mg/ml PMMA in THF,,,,,,,
Reactor2,15.1 mg/ml PMMA in Ethyl Acetate,,,,,,,
Reactor3,"14.98 mg/ml PMMA in 1,2-dichlorobenzene",,,,,,,
Reactor4,"14.96 mg/ml PMMA in 1,2-dichloroethane",,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PMMA:33,,,,,,,
solvent_ids,THF:18,Ethyl Acetate:19,"1,2-dichlorobenzene:39","1,2-dichloroethane:37",,,,
Start of Experiment,11/10/23 12:56,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Stir (Bottom) at,900, rpm,,,,,,
Hold at,20, for ,21, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,100, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3600, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
11/10/23 12:56,0:00:03,24.7,25.7,100,100,100,100,0
11/10/23 12:56,0:00:05,24.3,25.7,100,100,100,100,0
11/10/23 12:56,0:00:06,24,25.6,100,100,100,100,0
11/10/23 12:56,0:00:07,23.7,25.5,100,100,100,100,0
11/10/23 12:56,0:00:08,23.3,25.4,100,100,100,100,0
11/10/23 12:56,0:00:09,23,25.2,100,100,100,100,0
11/10/23 12:56,0:00:10,22.7,25,100,100,100,100,0
11/10/23 12:56,0:00:11,22.3,24.8,100,100,100,100,0
11/10/23 12:56,0:00:12,22,24.6,100,100,100,100,0
11/10/23 12:56,0:00:13,21.7,24.4,100,100,100,100,0
11/10/23 12:56,0:00:14,21.3,24.1,100,100,100,100,0
11/10/23 12:56,0:00:15,21,23.9,100,100,100,100,0
11/10/23 12:56,0:00:16,20.7,23.7,100,100,100,100,0
11/10/23 12:56,0:00:17,20.3,23.4,100,100,100,100,0
11/10/23 12:56,0:00:18,20,23.1,100,100,100,100,0
11/10/23 12:56,0:00:19,20,22.9,100,100,100,100,0
11/10/23 12:56,0:00:20,20,22.6,100,100,100,100,0
11/10/23 12:56,0:00:21,20,22.3,100,100,100,100,0
11/10/23 12:56,0:00:22,20,22.1,100,100,100,100,0
11/10/23 12:56,0:00:23,20,21.9,100,100,100,100,0
11/10/23 12:56,0:00:24,20,21.6,100,100,100,100,0
11/10/23 12:56,0:00:25,20,21.5,100,100,100,100,0
11/10/23 12:56,0:00:26,20,21.3,100,100,100,100,0
11/10/23 12:56,0:00:27,20,21.2,100,100,100,100,0
11/10/23 12:56,0:00:28,20,21,100,100,100,100,0
11/10/23 12:56,0:00:29,20,20.9,100,100,100,100,0
11/10/23 12:56,0:00:30,20,20.8,100,100,100,100,0
11/10/23 12:56,0:00:31,20,20.7,100,100,100,100,0
11/10/23 12:56,0:00:32,20,20.7,100,100,100,100,0
11/10/23 12:56,0:00:35,20,20.4,100,100,100,100,0
11/10/23 12:56,0:00:36,20,20.4,100,100,100,100,0
11/10/23 12:56,0:00:37,20,20.3,100,100,100,100,0
11/10/23 12:56,0:00:39,20,20.3,100,100,100,100,0
11/10/23 12:56,0:00:40,20,20.2,100,100,100,100,0
11/10/23 12:56,0:00:44,20,20.2,100,100,100,100,0
11/10/23 12:56,0:00:45,20,20.1,100,100,100,100,0
11/10/23 12:56,0:00:46,20,20.1,100,100,100,100,0
11/10/23 12:56,0:00:47,20,20.1,100,100,100,100,0
11/10/23 12:57,0:00:56,20,20.1,100,100,100,100,0
11/10/23 12:57,0:00:57,20,20.2,100,100,100,100,0
11/10/23 12:57,0:00:59,20,20.2,100,100,100,100,0
11/10/23 12:57,0:01:00,20,20.2,100,100,100,100,0
11/10/23 12:57,0:01:01,20,20.2,55,100,100,100,0
11/10/23 12:57,0:01:02,20,20.1,55,100,100,100,0
11/10/23 12:57,0:01:07,20,20.1,55,100,100,100,0
11/10/23 12:57,0:01:08,20,20.1,55,100,100,100,0
11/10/23 12:57,0:01:15,20,20.1,55,100,100,100,0
11/10/23 12:57,0:01:16,20,20,55,100,100,100,0
11/10/23 12:57,0:01:19,20,20,55,100,100,100,0
11/10/23 12:57,0:01:20,20,20.1,55,100,100,100,0
11/10/23 12:57,0:01:21,20,20,55,100,100,100,0
11/10/23 12:57,0:01:22,20,20.1,55,100,100,100,0
11/10/23 12:57,0:01:23,20,20,55,100,100,100,0
11/10/23 12:57,0:01:24,20,20,55,100,100,100,0
11/10/23 12:57,0:01:25,20,20,55,100,100,100,0
11/10/23 12:57,0:01:26,20,20,91,65,100,100,0
11/10/23 12:57,0:01:27,20,20.1,83,62,100,100,0
11/10/23 12:57,0:01:28,20,20.1,96,62,100,100,0
11/10/23 12:57,0:01:29,20,20.1,98,62,100,100,0
11/10/23 12:57,0:01:30,20,20.1,94,62,100,100,0
11/10/23 12:57,0:01:31,20,20.2,97,62,100,100,0
11/10/23 12:57,0:01:32,20,20.2,93,62,100,100,0
11/10/23 12:57,0:01:33,20,20.2,92,62,100,100,0
11/10/23 12:57,0:01:34,20,20.2,89,62,100,100,0
11/10/23 12:57,0:01:35,20,20.2,100,62,100,100,0
11/10/23 12:57,0:01:36,20,20.2,96,62,100,100,0
11/10/23 12:57,0:01:37,20,20.2,97,62,100,100,0
