Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,,,,,,,,
Project,MA-PP-n-Hexane,,,,,,,
Reactor1,5.08 mg/ml PP in n-Hexane,,,,,,,
Reactor2,14.7 mg/ml PP in n-Hexane,,,,,,,
Reactor3,30.5 mg/ml PP in n-Hexane,,,,,,,
Reactor4,50.4 mg/ml PP in n-Hexane,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PP:37,,,,,,,
solvent_ids,n-hexane:28,,,,,,,
Start of Experiment,6/28/23 8:40,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,10, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,10, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,10, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
6/28/23 8:40,0:00:00,25.5,25.5,16,2,3,59,0
6/28/23 8:40,0:00:01,25.5,25.5,33,4,7,100,0
6/28/23 8:40,0:00:02,25.1,25.5,33,4,7,100,0
6/28/23 8:40,0:00:03,24.8,25.5,33,4,7,100,0
6/28/23 8:40,0:00:04,24.5,25.5,34,4,7,100,0
6/28/23 8:40,0:00:05,24.1,25.4,34,4,7,100,0
6/28/23 8:40,0:00:06,23.8,25.4,34,4,7,100,0
6/28/23 8:40,0:00:07,23.5,25.2,34,4,7,100,0
6/28/23 8:40,0:00:08,23.1,25.1,34,4,7,100,0
6/28/23 8:40,0:00:09,22.8,24.9,34,4,7,100,0
6/28/23 8:40,0:00:10,22.5,24.7,35,4,7,100,0
6/28/23 8:40,0:00:11,22.1,24.5,35,4,7,100,0
6/28/23 8:40,0:00:12,21.8,24.3,35,4,7,100,0
6/28/23 8:40,0:00:13,21.5,24.1,35,4,7,100,0
6/28/23 8:40,0:00:14,21.1,23.9,35,4,6,100,0
6/28/23 8:40,0:00:15,20.8,23.7,35,4,6,100,0
6/28/23 8:40,0:00:16,20.5,23.4,35,4,6,100,0
6/28/23 8:40,0:00:17,20.1,23.2,36,4,6,100,0
6/28/23 8:40,0:00:18,20,22.9,38,4,6,100,0
6/28/23 8:40,0:00:19,20,22.7,40,4,6,100,0
6/28/23 8:40,0:00:20,20,22.4,42,4,7,100,0
6/28/23 8:41,0:00:21,20,22.2,46,4,9,100,0
6/28/23 8:41,0:00:22,20,21.9,51,5,9,100,0
6/28/23 8:41,0:00:23,20,21.7,54,6,9,100,0
6/28/23 8:41,0:00:24,20,21.6,55,6,9,100,0
6/28/23 8:41,0:00:25,20,21.4,53,6,10,100,0
6/28/23 8:41,0:00:26,20,21.3,50,6,11,100,0
