Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PTHF-1-Octanol-2,4,6-TrimethylPyridine-Benzyl Alcohol-Cyclopentanone,,,,,
Reactor1,15.01 mg/ml PTHF in 1-Octanol,,,,,,,
Reactor2,15.1 mg/ml PTHF in 2,4,6-TrimethylPyridine,,,,,
Reactor3,14.97 mg/ml PTHF in Benzyl Alcohol,,,,,,,
Reactor4,15 mg/ml PTHF in Cyclopentanone,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PTHF:64,,,,,,,
solvent_ids,1-octanol:47,"2,4,6-Trimethylpyridine:44",Benzyl alcohol:48,Cyclopentanone:45,,,,
Start of Experiment,9/27/23 11:56,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,167, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,1249, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
9/27/23 11:56,0:00:00,25.1,25.1,66,67,67,63,0
9/27/23 11:56,0:00:01,25.1,25,66,67,67,63,0
9/27/23 11:56,0:00:02,24.7,25.1,100,100,100,100,0
9/27/23 11:56,0:00:03,24.4,25,100,100,100,100,0
9/27/23 11:56,0:00:04,24.1,25,100,100,100,100,0
9/27/23 11:56,0:00:05,23.4,24.9,100,100,100,100,0
9/27/23 11:56,0:00:06,23.1,24.8,100,100,100,100,0
9/27/23 11:56,0:00:07,22.7,24.6,100,100,100,100,0
9/27/23 11:56,0:00:08,22.4,24.5,100,100,100,100,0
9/27/23 11:56,0:00:09,22.1,24.3,100,100,100,100,0
9/27/23 11:56,0:00:10,21.7,24.1,100,100,100,100,0
9/27/23 11:56,0:00:11,21.4,23.9,100,100,100,100,0
9/27/23 11:57,0:00:12,21.1,23.7,100,100,100,100,0
9/27/23 11:57,0:00:13,20.7,23.4,100,100,100,100,0
9/27/23 11:57,0:00:14,20.4,23.2,100,100,100,100,0
9/27/23 11:57,0:00:15,20.1,23,100,100,100,100,0
9/27/23 11:57,0:00:16,20,22.7,100,100,100,100,0
9/27/23 11:57,0:00:17,20,22.5,100,100,100,100,0
