Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,CopyOfAM-PVA L-DMAc-nMP-mCresol-Heptane,,,,,,,
Reactor1,14.93 mg/ml PVA in DMAc,,,,,,,
Reactor2,14.92 mg/ml PVA in nMP,,,,,,,
Reactor3,15.1 mg/ml PVA in m-Cresol,,,,,,,
Reactor4,15.1 mg/ml PVA in Heptane,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,PVA MW 9-10K,,,,,,,
polymer_ids,PVA:35,,,,,,,
solvent_ids,DMAc:12,NMP:11,m-cresol:2,Heptane:31,,,,
Start of Experiment,10/2/23 12:17,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Stir (Bottom) at,900, rpm,,,,,,
Hold at,20, for ,14, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,134, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3600, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
10/2/23 12:17,0:00:01,25.8,25.8,100,100,100,100,0
10/2/23 12:17,0:00:02,25.4,25.8,100,100,100,100,0
10/2/23 12:17,0:00:03,25.1,25.8,100,100,100,100,0
10/2/23 12:17,0:00:04,24.8,25.8,100,100,100,100,0
10/2/23 12:17,0:00:05,24.4,25.8,100,100,100,100,0
10/2/23 12:18,0:00:06,24.1,25.7,100,100,100,100,0
10/2/23 12:18,0:00:07,23.8,25.6,100,100,100,100,0
10/2/23 12:18,0:00:08,23.4,25.4,100,100,100,100,0
10/2/23 12:18,0:00:09,23.1,25.3,100,100,100,100,0
10/2/23 12:18,0:00:10,22.8,25.1,100,100,100,100,0
10/2/23 12:18,0:00:11,22.4,24.9,100,100,100,100,0
10/2/23 12:18,0:00:12,22.1,24.7,100,100,100,100,0
10/2/23 12:18,0:00:13,21.8,24.5,100,100,100,100,0
10/2/23 12:18,0:00:14,21.4,24.2,100,100,100,100,0
10/2/23 12:18,0:00:15,21.1,24,100,100,100,100,0
10/2/23 12:18,0:00:16,20.8,23.7,100,100,100,100,0
10/2/23 12:18,0:00:17,20.4,23.5,100,100,100,100,0
10/2/23 12:18,0:00:18,20.1,23.3,100,100,100,100,0
10/2/23 12:18,0:00:19,20,23,100,100,100,100,0
10/2/23 12:18,0:00:20,20,22.7,100,100,100,100,0
10/2/23 12:18,0:00:21,20,22.4,100,100,100,100,0
