Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,"MA-Polyvinylpyrrolidone-1,2,dichloroethane-Chlorobenzene-Nitrobenzene-n-Butyl Acetate",,,,,,,
Reactor1,"15.14 mg/ml Polyvinylpyrrolidone in 1,2,dichloroethane",2-dichloroethane,,,,,,
Reactor2,15.18 mg/ml Polyvinylpyrrolidone in Chlorobenzene,,,,,,,
Reactor3,14.8 mg/ml Polyvinylpyrrolidone in Nitrobenzene,,,,,,,
Reactor4,15.16 mg/ml Polyvinylpyrrolidone in n-Butyl Acetate,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,Polyvinylpyrrolidone:32,,,,,,,
solvent_ids,"1,2,dichloroethane:37",Chlorobenzene:10,Nitrobenzene:9,n-Butyl Acetate:40,,,,
Start of Experiment,1/25/24 12:23,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,16, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,209, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
1/25/24 12:23,0:00:00,26.7,26.7,64,56,54,62,0
1/25/24 12:23,0:00:01,26.7,26.7,64,57,54,63,0
1/25/24 12:23,0:00:02,26.3,26.7,100,100,100,100,0
1/25/24 12:23,0:00:03,26,26.7,100,100,100,100,0
1/25/24 12:23,0:00:04,25.7,26.7,100,100,100,100,0
1/25/24 12:23,0:00:05,25.3,26.6,100,100,100,100,0
1/25/24 12:23,0:00:06,25,26.5,100,100,100,100,0
1/25/24 12:23,0:00:07,24.7,26.4,100,100,100,100,0
1/25/24 12:23,0:00:08,24.3,26.3,100,100,100,100,0
1/25/24 12:23,0:00:09,24,26.1,100,100,100,100,0
1/25/24 12:23,0:00:10,23.7,25.9,100,100,100,100,0
1/25/24 12:23,0:00:11,23.3,25.7,100,100,100,100,0
1/25/24 12:23,0:00:12,23,25.5,100,100,100,100,0
1/25/24 12:23,0:00:13,22.7,25.3,100,100,100,100,0
1/25/24 12:23,0:00:14,22.3,25.1,100,100,100,100,0
1/25/24 12:23,0:00:15,22,24.8,100,100,100,100,0
1/25/24 12:23,0:00:16,21.7,24.6,100,100,100,100,0
1/25/24 12:23,0:00:17,21.3,24.3,100,100,100,100,0
1/25/24 12:23,0:00:18,21,24.1,100,100,100,100,0
1/25/24 12:23,0:00:19,20.7,23.8,100,100,100,100,0
1/25/24 12:23,0:00:20,20.3,23.5,100,100,100,100,0
1/25/24 12:23,0:00:21,20,23.3,100,100,100,100,0
1/25/24 12:23,0:00:22,20,23,100,100,100,100,0
1/25/24 12:23,0:00:23,20,22.7,100,100,100,100,0
1/25/24 12:23,0:00:24,20,22.4,100,100,100,100,0
1/25/24 12:23,0:00:25,20,22.2,100,100,100,100,0
1/25/24 12:23,0:00:26,20,22,100,100,100,100,0
1/25/24 12:23,0:00:27,20,21.8,100,100,100,100,0
1/25/24 12:23,0:00:28,20,21.6,100,100,100,100,0
1/25/24 12:23,0:00:29,20,21.4,100,100,100,100,0
1/25/24 12:23,0:00:30,20,21.3,100,100,100,100,0
1/25/24 12:23,0:00:31,20,21.1,100,100,100,100,0
1/25/24 12:23,0:00:32,20,21,100,100,100,100,0
1/25/24 12:24,0:00:33,20,20.9,100,100,100,100,0
1/25/24 12:24,0:00:34,20,20.8,100,100,100,100,0
1/25/24 12:24,0:00:35,20,20.7,100,100,100,100,0
1/25/24 12:24,0:00:36,20,20.7,100,100,100,100,0
1/25/24 12:24,0:00:39,20,20.4,100,100,100,100,0
1/25/24 12:24,0:00:40,20,20.4,100,100,100,100,0
1/25/24 12:24,0:00:41,20,20.3,100,100,100,100,0
1/25/24 12:24,0:00:42,20,20.3,100,100,100,100,0
1/25/24 12:24,0:00:43,20,20.3,100,100,100,100,0
1/25/24 12:24,0:00:44,20,20.2,100,100,100,100,0
1/25/24 12:24,0:00:45,20,20.2,100,100,100,100,0
1/25/24 12:24,0:00:46,20,20.2,100,100,100,100,0
1/25/24 12:24,0:00:47,20,20.2,100,100,100,100,0
1/25/24 12:24,0:00:48,20,20.2,100,100,100,100,0
1/25/24 12:24,0:00:49,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:50,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:51,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:52,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:53,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:55,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:56,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:57,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:58,20,20.1,100,100,100,100,0
1/25/24 12:24,0:00:59,20,20.2,100,100,100,100,0
1/25/24 12:24,0:01:00,20,20.2,100,100,100,100,0
1/25/24 12:24,0:01:01,20,20.2,100,100,100,100,0
1/25/24 12:24,0:01:02,20,20.2,100,100,100,100,0
1/25/24 12:24,0:01:03,20,20.2,100,100,100,100,0
1/25/24 12:24,0:01:05,20,20.2,100,100,100,100,0
1/25/24 12:24,0:01:06,20,20.2,94,100,100,100,0
1/25/24 12:24,0:01:07,20,20.2,57,100,100,100,0
1/25/24 12:24,0:01:08,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:09,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:10,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:11,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:13,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:14,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:15,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:16,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:17,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:18,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:19,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:20,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:21,20,20.1,57,100,100,100,0
1/25/24 12:24,0:01:22,20,20,57,100,100,100,0
1/25/24 12:24,0:01:23,20,20,57,100,100,100,0
1/25/24 12:24,0:01:24,20,20,57,100,100,100,0
1/25/24 12:24,0:01:25,20,20,57,100,100,100,0
1/25/24 12:24,0:01:26,20,20,57,100,100,100,0
1/25/24 12:24,0:01:27,20,20,57,100,100,100,0
1/25/24 12:24,0:01:28,20,20,57,100,100,100,0
1/25/24 12:24,0:01:29,20,20,57,100,100,100,0
1/25/24 12:24,0:01:30,20,20,57,100,100,100,0
1/25/24 12:24,0:01:31,20,20,57,100,100,100,0
1/25/24 12:24,0:01:32,20,20,57,100,100,100,0
1/25/24 12:25,0:01:33,20,20,57,100,100,100,0
1/25/24 12:25,0:01:34,20,20,57,100,100,100,0
1/25/24 12:25,0:01:35,20,20,57,100,100,100,0
1/25/24 12:25,0:01:36,20,20,57,100,100,100,0
1/25/24 12:25,0:01:37,20,20,57,100,100,100,0
1/25/24 12:25,0:01:38,20,20,57,100,100,100,0
1/25/24 12:25,0:01:39,20,20,57,100,100,100,0
1/25/24 12:25,0:01:40,20,20,57,100,100,100,0
1/25/24 12:25,0:01:41,20,20,57,100,100,100,0
1/25/24 12:25,0:01:43,20,20,57,100,100,100,0
1/25/24 12:25,0:01:44,20,20,57,100,100,100,0
1/25/24 12:25,0:01:45,20,20,57,100,100,100,0
1/25/24 12:25,0:01:47,20,20,57,100,100,100,0
1/25/24 12:25,0:01:48,20,20,57,100,100,100,0
1/25/24 12:25,0:01:49,20,20,57,100,100,100,0
1/25/24 12:25,0:01:50,20,20,57,100,100,100,0
1/25/24 12:25,0:01:51,20,20,57,100,100,100,0
1/25/24 12:25,0:01:52,20,20,57,100,100,100,0
1/25/24 12:25,0:01:53,20,20,57,100,100,100,0
1/25/24 12:25,0:01:54,20,20,57,100,100,100,0
1/25/24 12:25,0:01:56,20,20,57,100,100,100,0
1/25/24 12:25,0:01:57,20,20,57,100,100,100,0
1/25/24 12:25,0:01:58,20,20,57,100,100,100,0
1/25/24 12:25,0:01:59,20,20,57,100,100,100,0
1/25/24 12:25,0:02:00,20,20,57,100,100,100,0
1/25/24 12:25,0:02:01,20,20,100,100,100,100,0
1/25/24 12:25,0:02:02,20,20,100,67,100,100,0
1/25/24 12:25,0:02:03,20,20,100,67,100,100,0
1/25/24 12:25,0:02:04,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:05,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:06,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:07,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:08,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:09,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:10,20,20.2,100,67,100,100,0
1/25/24 12:25,0:02:11,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:12,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:13,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:14,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:15,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:16,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:17,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:18,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:20,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:21,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:24,20,20.1,100,67,100,100,0
1/25/24 12:25,0:02:25,20,20,100,67,100,100,0
1/25/24 12:25,0:02:26,20,20,100,67,100,100,0
1/25/24 12:25,0:02:27,20,20,100,67,100,100,0
1/25/24 12:25,0:02:28,20,20,100,67,100,100,0
1/25/24 12:25,0:02:29,20,20,100,67,100,100,0
1/25/24 12:25,0:02:30,20,20,100,67,100,100,0
1/25/24 12:25,0:02:31,20,20,100,67,100,100,0
1/25/24 12:26,0:02:33,20,20,100,67,100,100,0
1/25/24 12:26,0:02:34,20,20,100,67,100,100,0
1/25/24 12:26,0:02:36,20,20,100,67,100,100,0
1/25/24 12:26,0:02:37,20,20,100,67,100,100,0
1/25/24 12:26,0:02:39,20,20,100,67,100,100,0
1/25/24 12:26,0:02:40,20,20,100,67,100,100,0
1/25/24 12:26,0:02:42,20,20,100,67,100,100,0
1/25/24 12:26,0:02:43,20,20,100,67,100,100,0
1/25/24 12:26,0:02:44,20,20,100,67,100,100,0
1/25/24 12:26,0:02:45,20,20,100,67,100,100,0
1/25/24 12:26,0:02:46,20,20,100,67,100,100,0
1/25/24 12:26,0:02:47,20,20,100,67,100,100,0
1/25/24 12:26,0:02:48,20,20,100,67,100,100,0
1/25/24 12:26,0:02:49,20,20,100,67,100,100,0
1/25/24 12:26,0:02:50,20,20,100,67,100,100,0
1/25/24 12:26,0:02:51,20,20,100,65,100,100,0
1/25/24 12:26,0:02:52,20,20,100,100,68,100,0
1/25/24 12:26,0:02:53,20,20,100,100,68,100,0
1/25/24 12:26,0:02:54,20,20,100,100,68,100,0
1/25/24 12:26,0:02:55,20,20,100,100,68,100,0
1/25/24 12:26,0:02:56,20,20,100,100,68,100,0
1/25/24 12:26,0:02:57,20,20,100,100,68,100,0
1/25/24 12:26,0:02:58,20,20,100,100,68,100,0
1/25/24 12:26,0:02:59,20,20,100,100,68,100,0
1/25/24 12:26,0:03:00,20,20,100,100,68,100,0
1/25/24 12:26,0:03:01,20,20,100,100,68,100,0
1/25/24 12:26,0:03:02,20,20,100,100,68,100,0
1/25/24 12:26,0:03:03,20,20,100,100,68,100,0
1/25/24 12:26,0:03:04,20,20,100,100,68,100,0
1/25/24 12:26,0:03:05,20,20,100,100,68,100,0
1/25/24 12:26,0:03:06,20,20,100,100,68,100,0
1/25/24 12:26,0:03:07,20,20,100,100,68,100,0
1/25/24 12:26,0:03:08,20,20,100,100,68,100,0
1/25/24 12:26,0:03:10,20,20,100,100,68,100,0
1/25/24 12:26,0:03:11,20,20,100,100,68,100,0
1/25/24 12:26,0:03:12,20,20,100,100,68,100,0
1/25/24 12:26,0:03:13,20,20,100,100,68,100,0
1/25/24 12:26,0:03:14,20,20,100,100,68,100,0
1/25/24 12:26,0:03:15,20,20,100,100,68,100,0
1/25/24 12:26,0:03:16,20,20,100,100,68,100,0
1/25/24 12:26,0:03:17,20,20,100,100,68,100,0
1/25/24 12:26,0:03:19,20,20,100,100,68,100,0
1/25/24 12:26,0:03:20,20,20,100,100,68,100,0
1/25/24 12:26,0:03:22,20,20,100,100,68,100,0
1/25/24 12:26,0:03:23,20,20,100,100,68,100,0
1/25/24 12:26,0:03:24,20,20,100,100,68,100,0
1/25/24 12:26,0:03:25,20,20,100,100,68,100,0
1/25/24 12:26,0:03:26,20,20,100,100,68,100,0
1/25/24 12:26,0:03:27,20,20,100,100,68,100,0
1/25/24 12:26,0:03:30,20,20,100,100,68,100,0
1/25/24 12:26,0:03:31,20,20,100,100,68,100,0
1/25/24 12:27,0:03:33,20,20,100,100,68,100,0
1/25/24 12:27,0:03:34,20,20,100,100,68,100,0
1/25/24 12:27,0:03:36,20,20,100,100,68,100,0
1/25/24 12:27,0:03:37,20,20,100,100,68,100,0
1/25/24 12:27,0:03:39,20,20,100,100,68,100,0
1/25/24 12:27,0:03:40,20,20,100,100,68,100,0
1/25/24 12:27,0:03:41,20,20,100,100,68,100,0
1/25/24 12:27,0:03:43,20,20,100,100,68,100,0
1/25/24 12:27,0:03:44,20,20,100,100,68,100,0
1/25/24 12:27,0:03:45,20,20,100,100,68,100,0
1/25/24 12:27,0:03:46,20,20,100,100,68,100,0
1/25/24 12:27,0:03:47,20,20,100,100,78,100,0
1/25/24 12:27,0:03:48,20,20,100,100,100,87,0
1/25/24 12:27,0:03:49,20,19.9,100,100,100,60,0
1/25/24 12:27,0:03:50,20,19.9,100,100,100,60,0
1/25/24 12:27,0:03:51,20,20,100,100,100,60,0
1/25/24 12:27,0:03:52,20,20,100,100,100,60,0
1/25/24 12:27,0:03:53,20,20,100,100,100,60,0
1/25/24 12:27,0:03:54,20,20,100,100,100,60,0
1/25/24 12:27,0:03:55,20,20,100,100,100,60,0
1/25/24 12:27,0:03:56,20,20,100,100,100,60,0
1/25/24 12:27,0:03:57,20,20,100,100,100,60,0
1/25/24 12:27,0:03:58,20,20,100,100,100,60,0
1/25/24 12:27,0:04:00,20,20,100,100,100,60,0
1/25/24 12:27,0:04:02,20,20,100,100,100,60,0
1/25/24 12:27,0:04:03,20,20,100,100,100,60,0
1/25/24 12:27,0:04:04,20,20,100,100,100,60,0
1/25/24 12:27,0:04:05,20,20,100,100,100,60,0
1/25/24 12:27,0:04:06,20,20,100,100,100,60,0
1/25/24 12:27,0:04:07,20,20,100,100,100,60,0
1/25/24 12:27,0:04:08,20,20,100,100,100,60,0
1/25/24 12:27,0:04:09,20,20,100,100,100,60,0
1/25/24 12:27,0:04:10,20,20,100,100,100,60,0
1/25/24 12:27,0:04:12,20,20,100,100,100,60,0
