Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona Amrihesari,,,,,,,
Project,MA-PCL- Chlorobenzene,,,,,,,
Reactor1,5.3 mg/ml PCL in Chlorobenzene,,,,,,,
Reactor2,5.2 mg/ml PCL in Chlorobenzene,,,,,,,
Reactor3,5.15 mg/ml PCL in Chlorobenzene,,,,,,,
Reactor4,49.45 mg/ml PCL in Chlorobenzene,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,The first experiment on PCL-Chlorobenzene,,,,,,,
polymer_ids,PCL:36,,,,,,,
solvent_ids,Chlorobenzene:10,,,,,,,
Start of Experiment,3/2/23 13:12,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,A,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,25, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,119, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
3/2/23 13:12,0:00:03,24.7,25.7,100,100,100,100,0
3/2/23 13:12,0:00:05,24.3,25.7,100,100,100,100,0
3/2/23 13:12,0:00:06,24,25.6,100,100,100,100,0
3/2/23 13:12,0:00:07,23.7,25.5,100,100,100,100,0
3/2/23 13:12,0:00:08,23.3,25.4,100,100,100,100,0
3/2/23 13:12,0:00:09,23,25.2,100,100,100,100,0
3/2/23 13:12,0:00:10,22.7,25,100,100,100,100,0
3/2/23 13:12,0:00:11,22.3,24.8,100,100,100,100,0
3/2/23 13:12,0:00:12,22,24.6,100,100,100,100,0
3/2/23 13:12,0:00:13,21.7,24.4,100,100,100,100,0
3/2/23 13:12,0:00:14,21.3,24.2,100,100,100,100,0
3/2/23 13:12,0:00:15,21,23.9,100,100,100,100,0
3/2/23 13:12,0:00:16,20.7,23.7,100,100,100,100,0
3/2/23 13:12,0:00:17,20.3,23.4,100,100,100,100,0
3/2/23 13:12,0:00:18,20,23.1,100,100,100,100,0
3/2/23 13:12,0:00:19,20,22.9,100,100,100,100,0
3/2/23 13:12,0:00:20,20,22.6,100,100,100,100,0
3/2/23 13:12,0:00:21,20,22.3,100,100,100,100,0
3/2/23 13:12,0:00:22,20,22.1,100,100,100,100,0
3/2/23 13:12,0:00:23,20,21.8,100,100,100,100,0
3/2/23 13:12,0:00:24,20,21.6,100,100,100,100,0
3/2/23 13:12,0:00:25,20,21.4,100,100,100,100,0
