Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,"AM-PEG-Xylene-2,4,6 Trimethylpyridine-Styrene-1,2-Dichlorobenzene",,,,,,,
Reactor1,14.95 mg/ml PEG in Xylene,,,,,,,
Reactor2,"15.07 mg/ml PEG in 2,4,6 Trimethylpyridine",,,,,,,
Reactor3,15.1 mg/ml PEG in Styrene,,,,,,,
Reactor4,"15 mg/ml PEG in 1,2-Dichlorobenzene",,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PEG:34,,,,,,,
solvent_ids,Xylene:38,"2,4,6 Trimethylpyridine:44",Styrene:36,"1,2-Dichlorobenzene:39",,,,
Start of Experiment,11/17/23 12:26,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,A,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,397, sec,,,,
Tune,,,,,,,,
Stir (Bottom) at,900, rpm,,,,,,
Hold at,20, for ,189, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
11/17/23 12:26,0:00:00,25.9,25.9,100,100,100,100,0
11/17/23 12:26,0:00:01,25.9,25.9,100,100,100,100,0
11/17/23 12:26,0:00:02,25.5,26,100,100,100,100,0
11/17/23 12:26,0:00:03,25.2,26,100,100,100,100,0
11/17/23 12:26,0:00:04,24.9,25.9,100,100,100,100,0
11/17/23 12:26,0:00:05,24.5,25.9,100,100,100,100,0
11/17/23 12:26,0:00:06,24.2,25.8,100,100,100,100,0
11/17/23 12:26,0:00:07,23.9,25.7,100,100,100,100,0
11/17/23 12:26,0:00:08,23.5,25.6,100,100,100,100,0
11/17/23 12:26,0:00:09,23.2,25.4,100,100,100,100,0
11/17/23 12:26,0:00:10,22.9,25.2,100,100,100,100,0
11/17/23 12:26,0:00:11,22.2,24.8,100,100,100,100,0
11/17/23 12:26,0:00:12,21.9,24.6,100,100,100,100,0
11/17/23 12:26,0:00:13,21.5,24.4,100,100,100,100,0
11/17/23 12:26,0:00:14,21.2,24.1,100,100,100,100,0
11/17/23 12:26,0:00:15,20.9,23.9,100,100,100,100,0
11/17/23 12:26,0:00:16,20.5,23.6,100,100,100,100,0
11/17/23 12:26,0:00:17,20.2,23.3,100,100,100,100,0
11/17/23 12:26,0:00:18,20,23.1,100,100,100,100,0
11/17/23 12:26,0:00:19,20,22.8,100,100,100,100,0
