Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona Amrihesari,,,,,,,
Project,MA-PEG- n-Butanol,,,,,,,
Reactor1,5.14 mg/ml PEG in n-Butanol,,,,,,,
Reactor2,5.06 mg/ml PEG in n-Butanol,,,,,,,
Reactor3,5.2 mg/ml PEG in n-Butanol,,,,,,,
Reactor4,49.6 mg/ml PEG in n-Butanol,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,The first experiment on PEG-n-Butanol,,,,,,,
polymer_ids,PEG:34,,,,,,,
solvent_ids,n-Butanol:6,,,,,,,
Start of Experiment,3/1/23 12:53,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,12, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,245, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
3/1/23 12:53,0:00:03,24.9,25.9,100,100,100,100,0
3/1/23 12:53,0:00:05,24.5,25.9,100,100,100,100,0
3/1/23 12:53,0:00:06,24.2,25.8,100,100,100,100,0
3/1/23 12:53,0:00:07,23.9,25.7,100,100,100,100,0
3/1/23 12:53,0:00:08,23.5,25.5,100,100,100,100,0
3/1/23 12:53,0:00:09,23.2,25.3,100,100,100,100,0
3/1/23 12:53,0:00:10,22.9,25.1,100,100,100,100,0
3/1/23 12:53,0:00:11,22.5,24.9,100,100,100,100,0
3/1/23 12:53,0:00:12,22.2,24.7,100,100,100,100,0
3/1/23 12:53,0:00:13,21.9,24.5,100,100,100,100,0
3/1/23 12:53,0:00:14,21.5,24.3,100,100,100,100,0
3/1/23 12:53,0:00:15,21.2,24,100,100,100,100,0
3/1/23 12:53,0:00:16,20.9,23.8,100,100,100,100,0
3/1/23 12:53,0:00:17,20.5,23.5,100,100,100,100,0
3/1/23 12:53,0:00:18,20.2,23.3,100,100,100,100,0
3/1/23 12:53,0:00:19,20,23,100,100,100,100,0
3/1/23 12:53,0:00:20,20,22.7,100,100,100,100,0
3/1/23 12:54,0:00:21,20,22.5,100,100,100,100,0
3/1/23 12:54,0:00:22,20,22.2,100,100,100,100,0
3/1/23 12:54,0:00:23,20,22,100,100,100,100,0
3/1/23 12:54,0:00:24,20,21.8,100,100,100,100,0
3/1/23 12:54,0:00:25,20,21.6,100,100,100,100,0
