Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,MA-Poly(2-ethyl-2-oxazoline)-DCM-NMP-n-Butyl acetate-Cyclohexanone,,,,,,,
Reactor1,15.26 mg/ml Poly(2-ethyl-2-oxazoline) in DCM,,,,,,,
Reactor2,14.8 mg/ml Poly(2-ethyl-2-oxazoline) in NMP,,,,,,,
Reactor3,14.78 mg/ml Poly(2-ethyl-2-oxazoline) in n-Butyl Acetate,,,,,,,
Reactor4,14.86 mg/ml Poly(2-ethyl-2-oxazoline) in Cyclohexanone,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,Poly(2-ethyl-2-oxazoline):40,,,,,,,
solvent_ids,DCM:17,NMP:11,n-Butyl Acetate:40,Cyclohexanone:20,,,,
Start of Experiment,1/19/24 11:49,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,24, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,152, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
1/19/24 11:49,0:00:00,25.3,25.3,100,100,100,100,0
1/19/24 11:49,0:00:01,25.3,25.3,100,100,100,100,0
1/19/24 11:49,0:00:02,24.9,25.3,100,100,100,100,0
1/19/24 11:49,0:00:03,24.6,25.3,100,100,100,100,0
1/19/24 11:49,0:00:04,24.3,25.3,100,100,100,100,0
1/19/24 11:49,0:00:05,23.9,25.3,100,100,100,100,0
1/19/24 11:49,0:00:06,23.6,25.2,100,100,100,100,0
1/19/24 11:49,0:00:07,23.3,25.1,100,100,100,100,0
1/19/24 11:49,0:00:08,22.9,24.9,100,100,100,100,0
1/19/24 11:49,0:00:09,22.6,24.8,100,100,100,100,0
1/19/24 11:49,0:00:10,22.3,24.6,100,100,100,100,0
1/19/24 11:49,0:00:11,21.9,24.4,100,100,100,100,0
1/19/24 11:49,0:00:12,21.6,24.2,100,100,100,100,0
1/19/24 11:49,0:00:13,21.3,23.9,100,100,100,100,0
1/19/24 11:49,0:00:14,20.9,23.7,100,100,100,100,0
1/19/24 11:49,0:00:15,20.6,23.5,100,100,100,100,0
1/19/24 11:49,0:00:16,20.3,23.2,100,100,100,100,0
1/19/24 11:49,0:00:17,20,23,100,100,100,100,0
