Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,SC Polyethylene terephthalate-DMF-Nitrobenzene-Pyridine-Acetonitrile,,,,,,,
Reactor1,14.69 mg/ml Polyethylene terephthalate in DMF,,,,,,,
Reactor2,15 mg/ml Polyethylene terephthalate in Nitrobenzene,,,,,,,
Reactor3,14.63 mg/ml Polyethylene terephthalate in Pyridine,,,,,,,
Reactor4,15.42 mg/ml Polyethylene terephthalate in Acetonitrile,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,Polyethylene terephthalate:54,,,,,,,
solvent_ids,DMF:14,Nitrobenzene:9,Pyridine:41,Acetonitrile:15,,,,
Start of Experiment,1/23/24 12:03,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,20, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,180, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
1/23/24 12:03,0:00:00,25.7,25.7,60,55,58,54,0
1/23/24 12:03,0:00:00,25.7,25.7,100,100,100,100,0
1/23/24 12:03,0:00:02,25.3,25.7,100,100,100,100,0
1/23/24 12:03,0:00:03,25,25.7,100,100,100,100,0
1/23/24 12:03,0:00:04,24.7,25.6,100,100,100,100,0
1/23/24 12:03,0:00:05,24.3,25.6,100,100,100,100,0
1/23/24 12:03,0:00:06,24,25.5,100,100,100,100,0
1/23/24 12:03,0:00:07,23.7,25.4,100,100,100,100,0
1/23/24 12:03,0:00:08,23.3,25.3,100,100,100,100,0
1/23/24 12:03,0:00:09,23,25.1,100,100,100,100,0
1/23/24 12:03,0:00:10,22.7,24.9,100,100,100,100,0
1/23/24 12:03,0:00:11,22.3,24.7,100,100,100,100,0
1/23/24 12:03,0:00:12,22,24.5,100,100,100,100,0
1/23/24 12:03,0:00:13,21.7,24.3,100,100,100,100,0
1/23/24 12:03,0:00:14,21.3,24,100,100,100,100,0
1/23/24 12:03,0:00:15,21,23.8,100,100,100,100,0
1/23/24 12:03,0:00:16,20.7,23.6,100,100,100,100,0
1/23/24 12:03,0:00:17,20.3,23.3,100,100,100,100,0
1/23/24 12:03,0:00:18,20,23.1,100,100,100,100,0
1/23/24 12:03,0:00:19,20,22.8,100,100,100,100,0
