Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona Amrihesari,,,,,,,
Project,"MA-PTHF-Chloroform-Carbon disulfide-Cyclohexane-1,2-dichlorobenzene",,,,,,,
Reactor1,14.78 mg/ml PTHF in Chloroform,,,,,,,
Reactor2,15.33 mg/ml PTHF in Carbon disulfide,,,,,,,
Reactor3,15.03 mg/ml PTHF in Cyclohexane,,,,,,,
Reactor4,"14.43 mg/ml PTHF in 1,2-dichlorobenzene",,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PTHF:64,,,,,,,
solvent_ids,Chloroform:24,Carbon disulfide:30,Cyclohexane:32,"1,2-dichlorobenzene:39",,,,
Start of Experiment,11/16/23 14:59,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,10, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,147, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
11/16/23 14:59,0:00:01,24.9,25.3,100,100,100,100,0
11/16/23 14:59,0:00:03,24.6,25.3,100,100,100,100,0
11/16/23 14:59,0:00:04,24.3,25.3,100,100,100,100,0
11/16/23 14:59,0:00:05,23.9,25.2,100,100,100,100,0
11/16/23 14:59,0:00:06,23.6,25.1,100,100,100,100,0
11/16/23 14:59,0:00:07,23.3,25,100,100,100,100,0
11/16/23 14:59,0:00:08,22.9,24.9,100,100,100,100,0
11/16/23 14:59,0:00:09,22.6,24.7,100,100,100,100,0
11/16/23 14:59,0:00:10,22.3,24.5,100,100,100,100,0
11/16/23 14:59,0:00:11,21.9,24.3,100,100,100,100,0
11/16/23 14:59,0:00:12,21.6,24.1,100,100,100,100,0
11/16/23 14:59,0:00:13,21.3,23.9,100,100,100,100,0
11/16/23 14:59,0:00:14,20.9,23.7,100,100,100,100,0
11/16/23 14:59,0:00:15,20.6,23.4,100,100,100,100,0
11/16/23 14:59,0:00:16,20.3,23.2,100,100,100,100,0
11/16/23 14:59,0:00:17,20,22.9,100,100,100,100,0
11/16/23 14:59,0:00:18,20,22.7,100,100,100,100,0
11/16/23 14:59,0:00:19,20,22.4,100,100,100,100,0
11/16/23 14:59,0:00:20,20,22.2,100,100,100,100,0
11/16/23 14:59,0:00:21,20,21.9,100,100,100,100,0
