Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PVP L- Carbon disulfide-Cyclohexane-1,2dichlorobenzene-Xylene,,,,,,
Reactor1,14.9 mg/ml PVP L in  Carbon disulfide,,,,,,,
Reactor2,14.9 mg/ml PVP L in Cyclohexane,,,,,,,
Reactor3,15.1 mg/ml PVP L in 1,2dichlorobenzene,,,,,,
Reactor4,15.1 mg/ml PVP L in Xylene,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,MW 14K,,,,,,,
polymer_ids,PVP L:32,,,,,,,
solvent_ids,Carbon disulfide:30,Cyclohexane:32,"1,2dichlorobenzene:39",Xylene:38,,,,
Start of Experiment,11/17/23 13:12,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,17, sec,,,,
Tune,,,,,,,,
Stir (Bottom) at,900, rpm,,,,,,
Hold at,20, for ,92, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
11/17/23 13:12,0:00:02,25.6,26.3,100,100,100,100,0
11/17/23 13:12,0:00:04,25.3,26.3,100,100,100,100,0
