smiles,id
CO,1
CCOCC,2
C1COCCO1,3
C1CCOC1,4
C(=O)N,5
C(=S)=S,6
CC1=CC(=CC=C1)O,7
C1=CC=C(C=C1)[N+](=O)[O-],8
COC1=CC=CC=C1,9
CC#N,10
C1=CC=CC=C1,11
C1=CC=C(C=C1)Cl,12
CC(=O)O,13
CCOC(=O)C,14
CC(=O)N(C)C,15
CCO,16
CCCCCC,17
C=CC1=CC=CC=C1,18
C1=CC(=C(C=C1Cl)Cl)Cl,19
C1CCC(=O)CC1,20
C(Cl)(Cl)Cl,21
O,22
C1=CC=C(C(=C1)Cl)Cl,23
CC(=O)C,24
C1=CC=NC=C1,25
C(CCl)Cl,26
CCCCOC(=O)C,27
CCCCC,28
CC1=CC=C(C=C1)C.CC1=CC(=CC=C1)C.CC1=CC=CC=C1C,29
CC1=CC=CC=C1,30
C(Cl)Cl,31
CN(C)C=O,32
CC(C)COC(=O)C,33
CCCCCCCCO,34
CS(=O)C,35
CCCCCCC,36
C1CCCCC1,37
CN1CCCC1=O,38
CC(C)O,39
C1CCCC2CCCCC12,40
OCCCC,41
OCC(F)(F)F,42
CCCC(C)C,43
CCOC(=O)C(C)O,44
CC1=CC(=NC(=C1)C)C,45
C1CCC(=O)C1,46
c1ccc(cc1)CO,47
